"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 17:21:02 GMT 2024","Thu Oct 17 17:21:02 GMT 2024","370","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Oct 17 17:20:58 GMT 2024","Thu Oct 17 17:20:58 GMT 2024","365","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"failed","Thu Oct 17 17:21:03 GMT 2024","Thu Oct 17 17:21:09 GMT 2024","5649","browser: chrome","tests/login-saucelabs.spec.ts","Login","","","should login with valid credentials",""
"passed","Thu Oct 17 17:21:03 GMT 2024","Thu Oct 17 17:21:04 GMT 2024","598","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Oct 17 17:20:58 GMT 2024","Thu Oct 17 17:20:58 GMT 2024","425","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Oct 17 17:21:04 GMT 2024","Thu Oct 17 17:21:04 GMT 2024","515","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Oct 17 17:21:02 GMT 2024","Thu Oct 17 17:21:02 GMT 2024","299","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Oct 17 17:21:04 GMT 2024","Thu Oct 17 17:21:05 GMT 2024","380","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Oct 17 17:20:40 GMT 2024","Thu Oct 17 17:20:44 GMT 2024","3897","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Oct 17 17:20:59 GMT 2024","Thu Oct 17 17:21:00 GMT 2024","406","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Oct 17 17:21:01 GMT 2024","Thu Oct 17 17:21:01 GMT 2024","368","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Oct 17 17:21:01 GMT 2024","Thu Oct 17 17:21:02 GMT 2024","262","browser: chrome","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Oct 17 17:21:05 GMT 2024","Thu Oct 17 17:21:05 GMT 2024","441","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Oct 17 17:21:03 GMT 2024","Thu Oct 17 17:21:03 GMT 2024","492","browser: chrome","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Oct 17 17:20:58 GMT 2024","Thu Oct 17 17:20:59 GMT 2024","349","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Oct 17 17:21:02 GMT 2024","Thu Oct 17 17:21:03 GMT 2024","414","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Oct 17 17:20:59 GMT 2024","Thu Oct 17 17:20:59 GMT 2024","370","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Oct 17 17:21:00 GMT 2024","Thu Oct 17 17:21:00 GMT 2024","341","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Oct 17 17:20:57 GMT 2024","Thu Oct 17 17:20:57 GMT 2024","352","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Oct 17 17:21:00 GMT 2024","Thu Oct 17 17:21:01 GMT 2024","365","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Oct 17 17:20:57 GMT 2024","Thu Oct 17 17:20:58 GMT 2024","420","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Oct 17 17:20:57 GMT 2024","Thu Oct 17 17:20:57 GMT 2024","293","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Oct 17 17:21:05 GMT 2024","Thu Oct 17 17:21:06 GMT 2024","345","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Oct 17 17:21:00 GMT 2024","Thu Oct 17 17:21:00 GMT 2024","345","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Oct 17 17:21:01 GMT 2024","Thu Oct 17 17:21:01 GMT 2024","368","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
