"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 18:33:06 GMT 2024","Thu Oct 17 18:33:06 GMT 2024","326","browser: chrome","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Oct 17 18:33:01 GMT 2024","Thu Oct 17 18:33:01 GMT 2024","291","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Oct 17 18:33:05 GMT 2024","Thu Oct 17 18:33:06 GMT 2024","348","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Oct 17 18:33:02 GMT 2024","Thu Oct 17 18:33:03 GMT 2024","444","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Oct 17 18:33:08 GMT 2024","Thu Oct 17 18:33:08 GMT 2024","361","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Oct 17 18:33:02 GMT 2024","Thu Oct 17 18:33:02 GMT 2024","373","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Oct 17 18:33:08 GMT 2024","Thu Oct 17 18:33:08 GMT 2024","525","browser: chrome","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Oct 17 18:33:02 GMT 2024","Thu Oct 17 18:33:02 GMT 2024","375","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Oct 17 18:33:04 GMT 2024","Thu Oct 17 18:33:04 GMT 2024","319","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Oct 17 18:33:04 GMT 2024","Thu Oct 17 18:33:04 GMT 2024","468","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Oct 17 18:33:03 GMT 2024","Thu Oct 17 18:33:03 GMT 2024","332","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"failed","Thu Oct 17 18:33:07 GMT 2024","Thu Oct 17 18:33:13 GMT 2024","5733","browser: chrome","tests/login-saucelabs.spec.ts","Login","","","should login with valid credentials",""
"passed","Thu Oct 17 18:32:50 GMT 2024","Thu Oct 17 18:32:54 GMT 2024","3927","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Oct 17 18:33:06 GMT 2024","Thu Oct 17 18:33:06 GMT 2024","358","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Oct 17 18:33:01 GMT 2024","Thu Oct 17 18:33:02 GMT 2024","322","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Oct 17 18:33:10 GMT 2024","Thu Oct 17 18:33:10 GMT 2024","377","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Oct 17 18:33:09 GMT 2024","Thu Oct 17 18:33:09 GMT 2024","338","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Oct 17 18:33:04 GMT 2024","Thu Oct 17 18:33:05 GMT 2024","334","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Oct 17 18:33:05 GMT 2024","Thu Oct 17 18:33:05 GMT 2024","437","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Oct 17 18:33:06 GMT 2024","Thu Oct 17 18:33:07 GMT 2024","371","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Oct 17 18:33:07 GMT 2024","Thu Oct 17 18:33:08 GMT 2024","439","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Oct 17 18:33:07 GMT 2024","Thu Oct 17 18:33:07 GMT 2024","459","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Oct 17 18:33:03 GMT 2024","Thu Oct 17 18:33:04 GMT 2024","367","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Oct 17 18:33:08 GMT 2024","Thu Oct 17 18:33:09 GMT 2024","499","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Oct 17 18:33:09 GMT 2024","Thu Oct 17 18:33:10 GMT 2024","431","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
