"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 18:44:25 GMT 2024","Thu Oct 17 18:44:26 GMT 2024","386","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Oct 17 18:44:20 GMT 2024","Thu Oct 17 18:44:20 GMT 2024","448","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Oct 17 18:44:26 GMT 2024","Thu Oct 17 18:44:26 GMT 2024","505","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Oct 17 18:44:25 GMT 2024","Thu Oct 17 18:44:25 GMT 2024","420","browser: chrome","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Oct 17 18:44:22 GMT 2024","Thu Oct 17 18:44:22 GMT 2024","352","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Oct 17 18:44:21 GMT 2024","Thu Oct 17 18:44:22 GMT 2024","343","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Oct 17 18:44:24 GMT 2024","Thu Oct 17 18:44:25 GMT 2024","562","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Oct 17 18:44:22 GMT 2024","Thu Oct 17 18:44:23 GMT 2024","353","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Oct 17 18:44:26 GMT 2024","Thu Oct 17 18:44:27 GMT 2024","391","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Oct 17 18:44:20 GMT 2024","Thu Oct 17 18:44:20 GMT 2024","371","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Oct 17 18:44:22 GMT 2024","Thu Oct 17 18:44:22 GMT 2024","367","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Oct 17 18:44:19 GMT 2024","Thu Oct 17 18:44:19 GMT 2024","393","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Oct 17 18:44:23 GMT 2024","Thu Oct 17 18:44:24 GMT 2024","413","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Oct 17 18:44:24 GMT 2024","Thu Oct 17 18:44:24 GMT 2024","525","browser: chrome","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Oct 17 18:44:18 GMT 2024","Thu Oct 17 18:44:18 GMT 2024","419","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"failed","Thu Oct 17 18:44:24 GMT 2024","Thu Oct 17 18:44:30 GMT 2024","5684","browser: chrome","tests/login-saucelabs.spec.ts","Login","","","should login with valid credentials",""
"passed","Thu Oct 17 18:44:27 GMT 2024","Thu Oct 17 18:44:27 GMT 2024","363","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Oct 17 18:44:19 GMT 2024","Thu Oct 17 18:44:19 GMT 2024","441","browser: chrome","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Oct 17 18:44:23 GMT 2024","Thu Oct 17 18:44:23 GMT 2024","381","browser: chrome","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Oct 17 18:44:17 GMT 2024","Thu Oct 17 18:44:17 GMT 2024","959","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Oct 17 18:44:27 GMT 2024","Thu Oct 17 18:44:27 GMT 2024","476","browser: chrome","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Oct 17 18:44:20 GMT 2024","Thu Oct 17 18:44:21 GMT 2024","418","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Oct 17 18:44:21 GMT 2024","Thu Oct 17 18:44:21 GMT 2024","422","browser: chrome","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Oct 17 18:44:18 GMT 2024","Thu Oct 17 18:44:19 GMT 2024","375","browser: chrome","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Oct 17 18:44:23 GMT 2024","Thu Oct 17 18:44:23 GMT 2024","322","browser: chrome","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
